Issuer,Name of Card,Reward Program,Categories,Charge or Credit Card?,Welcome Offer,Minimum Spend,Annual Fee,First Year Free?,Annual Interest Rate on purchase,Annual Interest Rate on funds,,References
AMEX,Cobalt,Cashback,A,Credit,"2,500",500,$120 ,No,19.99,22.99,"Earn 5x points per $1 spent on eligible dining transactions, 2x points on travel and 1 point on all other spend.",https://www.americanexpress.com/ca/en/credit-cards/cobalt-card/
AMEX,Gold Rewards,Cashback,A,Charge,"25,000",1500,$150 ,No,na,na,"Earn 2x points for every $1 in Card purchases on eligible travel and everyday purchases, 1x point for every $1 in Card purchases everywhere else",https://www.americanexpress.com/ca/en/charge-cards/gold-rewards-card/
AMEX,Marriott Bonvoy,Travel Rewards,A,Credit,50000,1500,$120 ,No,19.99,22.99,"Earn 5x points for every $1 in eligible Card purchases at participating Marriott Bonvoy properties
Earn 2x points for every $1 in all other Card purchases",https://www.americanexpress.com/ca/en/credit-cards/marriott-bonvoy-card/
AMEX,Essential,Low interest rate,A,Credit,0,$0 ,$0 ,Yes,8.99,8.99,1.99% interest in first 6 months,https://www.americanexpress.com/ca/en/credit-cards/essential-credit-card/?linknav=ca-en-amex-cardshop-details-browse-americanExpressEssentialCreditCard
AMEX,Air Miles Credit Card,Air Miles,A,Credit,500 AIR MILES,$500 ,$0 ,Yes,19.99,22.99,Enjoy an earn rate of 1 Reward Mile for every $15 in Card purchases at AIR MILES Sponsors and 1 Reward Mile for every $20 in Card purchases everywhere else.,https://www.americanexpress.com/ca/en/credit-cards/air-miles-credit-card/?linknav=CA-Acq-CreditCards-AIRMILES
AMEX,SimplyCash,Cashback,A,Credit,2.5% cashback,0,$0 ,Yes,19.99,22.99,1.25% cash back on purchases when your Welcome Rate ends,https://www.americanexpress.com/ca/en/credit-cards/simply-cash/?linknav=CA-Acq-CreditCards-SimplyCash
AMEX,AeroplanPlus Gold,Aeroplan,A,Charge,"15,000","$1,500 ",$120 ,No,na,na,"Earn 1x Aeroplan Mile for every $1 in Card purchases up to $10,000. Accelerate your earn rate to 1.25 Aeroplan Miles for every additional $1 in Card purchases over $10,000 annually",https://www.americanexpress.com/ca/en/charge-cards/aeroplan-gold-card/
AMEX,Platinum,Membership Rewards,A,Charge,"50,000","$3,000 ",$699 ,No,na,na,2x points for every $1 in Card purchases on eligible travel,https://www.americanexpress.com/ca/en/charge-cards/the-platinum-card/?CPID=100186461&dsparms=dc_pcrid_325816839291_kword_amex%20platinum%20card_match_e&ds_rl=1262561&ds_rl=1270496&ds_rl=1270430&gclid=EAIaIQobChMI_J-2tt6S4wIVjsBkCh2dKQ1lEAAYASAAEgJYM_D_BwE&gclsrc=aw.ds
AMEX,AeroplanPlus ,Aeroplan,A,Charge,"5,000",$0 ,$60 ,No,na,na,Earn 1 Aeroplan Mile for every $1 in Card purchases,https://www.americanexpress.com/ca/en/charge-cards/aeroplanplus-card/
AMEX,AeroplanPlus Platinum,Aeroplan,A,Charge,"40,000","$3,000 ",$499 ,No,na,na,"Earn 1.25x Aeroplan Mile for every $1 in Card purchases up to $10,000. Accelerate your earn rate to 1.5 Aeroplan Miles for every additional $1 in Card purchases over $10,000 annually",https://www.americanexpress.com/ca/en/charge-cards/aeroplan-platinum-card/
AMEX,AeroplanPlus Reserve,Aeroplan,A,Charge,"50,000","$3,000 ",$899 ,No,na,na,Earn 1.25 Aeroplan Miles for every $1 in Card purchases. Plus earn 2 Aeroplan Miles for every $1 of eligible Air Canada purchases,https://www.americanexpress.com/ca/en/credit-cards/aeroplan-reserve-credit-card/
AMEX,Air Miles Platinum,Air Miles,A,Credit,"2,000","$1,500 ",$65 ,No,19.99,22.99,"Earn 1 Reward Mile for every $10 in Card purchases at AIR MILES®* Sponsors and eligible grocery stores, gas stations, and drugstores in Canada. Rean 1 Reward Mile for every $15 in Card purchases everywhere else",https://www.americanexpress.com/ca/en/credit-cards/air-miles-platinum-credit-card/?linknav=CA-Acq-CreditCards-AIRMILESPlatinum
AMEX,Air Miles Reserve,Air Miles,A,Credit,2400AR,"$3,000 ",$299 ,No,19.99,22.99,"Earn 1 Reward Mile for every $10 in Card purchases at AIR MILES®* Sponsors and eligible grocery stores, gas stations, and drugstores in Canada. Earn 1 Reward Mile for every $15 in Card purchases everywhere else",https://www.americanexpress.com/ca/en/credit-cards/air-miles-reserve-credit-card/?linknav=CA-Acq-CreditCards-AIRMILESReserve
AMEX,SimplyCash Preferred,Cashback,A,Credit,5% cashback,$0 ,$99 ,No,19.99,22.99,Earn 5% cashback in your first 6 months Earn 2% cash back when your Welcome Rate ends,https://www.americanexpress.com/ca/en/credit-cards/simply-cash-preferred/?linknav=CA-Acq-CreditCards-SimplyCashPreferred
